,title,link,resolution,size(GB),seeders,leechers,score
0,The Godfather (1972) 1080p BrRip x264 - YIFY,https://rargb.to//torrent/the-godfather-1972-1080p-brrip-x264-yify-489894.html,1080,2.4,736,736,2208.24
1,The Godfather Part II (1974) 720p BrRip x264 - YIFY,https://rargb.to//torrent/the-godfather-part-ii-1974-720p-brrip-x264-yify-489902.html,720,1.3,517,517,1551.13
2,The Godfather 1972 720p BrRip x264 BOKUTOX YIFY,https://rargb.to//torrent/the-godfather-1972-720p-brrip-x264-bokutox-yify-1341406.html,720,1.2,296,296,888.12
3,The Godfather: Part III (1990) 720p BrRip x264 - YIFY,https://rargb.to//torrent/the-godfather-part-iii-1990-720p-brrip-x264-yify-489911.html,720,1.1,271,271,813.11
4,The Godfather: Part II (1974) 1080p BrRip x264 - YIFY,https://rargb.to//torrent/the-godfather-part-ii-1974-1080p-brrip-x264-yify-489906.html,1080,2.7,207,207,621.27
5,The Godfather 1972 The Coppola Restoration Bluray 1080p AV1 OPUS 5.1-UH,https://rargb.to//torrent/the-godfather-1972-the-coppola-restoration-bluray-1080p-av1-opus-5-1-uh-5941662.html,1080,5.9,167,167,501.59
6,The Godfather Part III (1990) 1080p BrRip x264 - YIFY,https://rargb.to//torrent/the-godfather-part-iii-1990-1080p-brrip-x264-yify-489916.html,1080,2.3,148,148,444.23
7,The.Godfather.Trilogy.[ I. II. III ].1080p.BluRay.x264.anoXmous,https://rargb.to//torrent/the-godfather-trilogy-i-ii-iii-1080p-bluray-x264-anoxmous-2266555.html,1080,8.9,143,143,429.89
8,"Godfather (2022) 720p WEBRip x264 AAC Dual Audio [ Hin,Tel ] ESub",https://rargb.to//torrent/godfather-2022-720p-webrip-x264-aac-dual-audio-hin-tel-esub-5460109.html,720,1.0,140,140,420.1
9,The.Godfather.1972.REMASTERED.1080p.10bit.BluRay.6CH.x265.HEVC-PSA,https://rargb.to//torrent/the-godfather-1972-remastered-1080p-10bit-bluray-6ch-x265-hevc-psa-5223389.html,1080,3.1,134,134,402.31
10,Mario.Puzos.The.Godfather.Coda.The.Death.of.Michael.Corleone.2020.1080p.WEB-DL.DD5.1.H.264-EVO[TGx] ⭐,https://rargb.to//torrent/mario-puzos-the-godfather-coda-the-death-of-michael-corleone-2020-1080p-web-dl-dd5-1-h-264-evo-tgx-4704112.html,1080,6.3,133,133,399.63
11,The Godfather Part III 1990 The Coppola Restoration Bluray 1080p AV1 OPUS 5.1-UH,https://rargb.to//torrent/the-godfather-part-iii-1990-the-coppola-restoration-bluray-1080p-av1-opus-5-1-uh-5941660.html,1080,5.6,131,131,393.56
12,Ghostbusters - Frozen Empire (2024) 720p 10bit WEBRip [Hindi + English] 5.1 HEVC x265 ESubs Godfather [ProtonMoviees],https://rargb.to//torrent/ghostbusters-frozen-empire-2024-720p-10bit-webrip-hindi-english-5-1-hevc-x265-esubs-godfather-protonmoviees-6089898.html,720,1.0,129,129,387.1
13,The Godfather Part II 1974 The Coppola Restoration Bluray 1080p AV1 OPUS 5.1-UH,https://rargb.to//torrent/the-godfather-part-ii-1974-the-coppola-restoration-bluray-1080p-av1-opus-5-1-uh-5941661.html,1080,6.7,125,125,375.67
14,The.Godfather.Part.II.1974.REMASTERED.1080p.10bit.BluRay.6CH.x265.HEVC-PSA,https://rargb.to//torrent/the-godfather-part-ii-1974-remastered-1080p-10bit-bluray-6ch-x265-hevc-psa-5223387.html,1080,3.6,117,117,351.36
